cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
0597a211b23e,ACTB,CTBP1;TERF2;GTF2F1;USF1;SSRP1;E4F1;ZSCAN18;E2F4;TRIM28;SND1;NONO;NFYC;MEF2D;YY1;HDAC3;SF1;FOXJ3;TFE3;EWSR1;SRF,20,0.4123,exp03_amygdala-coregtor-r1,0.56667,0.54912,0.5693,17.28252,14.76683,17.96293,0.48092,1.47615,0.40929,,,,
1688b27958aa,AKT1,MBD1;MLX;GTF2F1;YY1;TFE3;E4F1;APEX1;TFCP2;NONO;CTBP1;E2F4;NR1H2;ATF2;CIC;ZBTB4;SSRP1;RFX5;FOXJ3;CEBPG;STAT5B;THRA;MEF2D;THAP11;CTNNB1;PBX2;SKI;PPARD;FOXO3;HMGA1;USF1;TERF2;SND1;ZNF316;UBP1;POU6F1;DRAP1;SREBF2,37,0.2643,exp03_amygdala-coregtor-r1,0.51852,0.49575,0.51977,10.99391,7.53183,8.33257,0.51705,1.6316,0.44999,,,,
825d39d6c99e,APOE,RFXANK;ID2;RFX4;SOX2;EMX2;ENO1;ESRRA;NR2E1;ID4;USF2;SOX9;NR1D1,12,0.0,exp03_amygdala-coregtor-r1,0.44949,0.55051,0.46465,3.8521,12.40359,2.77439,0.52225,1.69675,0.44759,,,,
5d5ebb2627d6,APP,YY1;TERF2;TFCP2;PBX2;RXRB;UBTF;NFE2L1;SSRP1;BCLAF1;NFYC;LDB1;MEF2D;ATF2;ZNF189;SF1;KLF13;DMAP1;RBFOX2;CREBZF;ZSCAN18;CTCF;CTBP1;FOXJ3;ZBTB4;UBP1;STAT5B;TBL1XR1;E2F4;ZBTB17;ZNF316;ING4,31,0.3112,exp03_amygdala-coregtor-r1,0.50502,0.4828,0.5147,10.4265,7.52916,7.85406,0.53813,1.59701,0.46972,,,,
4e0715e95f2b,BCL2L1,ZSCAN18;USF1;RXRB;E2F4;ZBTB17;YY1;GTF2F1;MBD1;TERF2;ZGPAT;HDAC3;CREB3;TBPL1;THAP11;SSRP1;CTBP1;TRIM28;E4F1;BCLAF1;APEX1;NFYC;FOXJ3;SND1,23,0.368,exp03_amygdala-coregtor-r1,0.55336,0.51779,0.55468,11.65616,10.14172,10.57022,0.4961,1.52998,0.42679,,,,
99b5d68b9a12,BMI1,UBTF;NR2F1;MAX;SMARCC1;SMARCA1;CTCF;NFYB;HMGB1;SMARCA5;SFPQ;ZNF692;SOX21;ZNF24;ABL1;FOXO4;SOX10;CBFB;THAP12;ATF2;NFIX;TCF12;CREBZF,22,0.3738,exp03_amygdala-coregtor-r1,0.52309,0.52237,0.52525,12.23045,14.51035,12.087,0.515,1.5977,0.45256,,,,
138f1b5336bb,CCND3,ENO1;E4F1;IRF3;ESRRA;HSF1;ZSCAN18;TRIM28;CEBPD;E2F4;DDIT3;NFE2L1;HMGB2;RELA;ATF4;ETS2;NONO;PHF1;THAP11;EGR1;BCLAF1;USF1;FOXO3;ARID5A;HSF4;CREB3;SSRP1;THRA;EWSR1;ETV5;APEX1;SND1,31,0.2328,exp03_amygdala-coregtor-r1,0.5233,0.51434,0.53262,9.68932,11.39866,10.36348,0.53276,1.70088,0.44974,,,,
bbd46ad4b385,CD14,BCLAF1;ATF6B,2,0.4812,exp03_amygdala-coregtor-r1,0.5,0.5,0.5,2.77311,0.23017,0.91404,0.60521,1.93276,0.43881,,,,
ddd236f9f5c2,CDKN1A,CEBPD;HSF1;ARID5A;HIF1A;ATF3;XBP1;RELA;NFIL3;RFX4;ATF4;TFE3;STAT3;JUN;THAP12;CEBPB;NFIC;DDIT3;PPARD;ERF;BCL6;PIR;LMO2;IRF3,23,0.3997,exp03_amygdala-coregtor-r1,0.55863,0.62582,0.55929,10.09078,31.55369,8.63594,0.53401,1.85234,0.44234,,,,
2d18d2375349,CLU,RFXANK;RELA;HMGB2;ENO1;IRF3;NFE2L2;ESRRA;EMX2;NFIA;SOX9;CEBPD;STAT3;RXRA;KLF15;RFX4;EPAS1;TRIM28;SOX2;HSF1;ZBED1;NR2E1;ARID5A;PIR;NR1D1;BCL6;HIF1A,26,0.3862,exp03_amygdala-coregtor-r1,0.51333,0.55641,0.52103,9.2294,19.84634,9.13898,0.53649,1.84888,0.44069,,,,
68506d3f312a,CRYAB,NKX6-2;XBP1;PIR;ATF4;VEZF1;CBFB;DDIT3;YBX1;STAT3;HES6;NR1H2;OLIG2;HSF1;RELA;EWSR1;SMARCA5;TRIM28;NFIC;ZNF24;ETV5;ATF5;JUN;NFIX;CEBPD;MAX;ATF3;SOX10;SF1;TCF12;MYRF;RBPJ;IRF3;NR1D1;NFIL3;BCL6;HMGB2,36,0.2907,exp03_amygdala-coregtor-r1,0.50722,0.55423,0.51513,9.43935,14.7766,8.73247,0.54332,1.77281,0.46182,,,,
0c6844b39253,CSF1R,NONO;ZEB1;NCOR1;NFE2L1;ATF5;ATF6B;CTNNB1;ATF4;IRF9;YBX1;MLXIPL;RFX5;ZBTB17;MYRF;STAT1;STAT2;VEZF1;KLF13;PPARD;MAFK;POU6F1;MAX;LMO2;BHLHE41;ING4;CEBPB;DDIT3;USF2;RBPJ;ID2;SSRP1;ZGPAT;CEBPG;E2F4;STAT3;EWSR1;IRF3;SMARCA1;TFE3,39,0.3843,exp03_amygdala-coregtor-r1,0.50675,0.53464,0.52002,9.74226,14.15502,8.39807,0.52123,1.67506,0.45141,,,,
3a0c6f712b10,DUSP1,JUN;FOS;ID1;HES1;JUNB;NR4A1;IRF9;ATF3;ZEB1;STAT1;ATF6B;ID2;TCF12;TFDP1;ATF4;CEBPB;CEBPG;EGR1;DDIT3;ID4;NFIX,21,0.0,exp03_amygdala-coregtor-r1,0.59048,0.67619,0.58254,11.01219,39.44192,9.18098,0.57372,2.00364,0.47851,,,,
95e82e7c6a34,FASN,SREBF2;TFE3;CIC;CTBP1;EPAS1;HMGA1;SREBF1;ARNT2;MEF2D;POU6F1;NCOR2;BCL6;DBP;NR1H2;NFIC;MTA3;PPARD;KLF9;SKI;ZNF219;HES4;NPAS2;E4F1;SRF;HSF1;E2F4;ID1;MBD1;KLF13;SND1;ZBTB17;BHLHE41,32,0.0,exp03_amygdala-coregtor-r1,0.51394,0.50672,0.51697,8.39335,7.56692,7.03722,0.54,1.69219,0.46968,,,,
f4fc3eb21821,FN1,LMO2;NFIC;RELA;STAT3;NFE2L2;TFE3;IRF3;BCL6;HDAC1;ETS2;EPAS1;HIF1A;HES5;RXRA;KLF13;STAT5B;HSF1;NONO,18,0.2683,exp03_amygdala-coregtor-r1,0.56645,0.63943,0.5817,13.51387,36.65288,12.79563,0.54346,1.94999,0.43756,,,,
174a74938d37,GADD45B,ARID5A;NFIL3;CEBPD;BHLHE40;JUN;DDIT3;ATF3;CEBPB;CEBPG;ERF;JUNB;XBP1;STAT3,13,0.0,exp03_amygdala-coregtor-r1,0.65171,0.76709,0.63248,19.97013,45.515,10.81461,0.61721,2.18142,0.50928,,,,
